Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
Villa Crespi,"via Fava 18, Orta San Giulio, 28016, Italia","Orta San Giulio, Italia",€€€€,"Creativa, Mediterranea",8.4159486,45.7964778,+390322911902,https://guide.michelin.com/en/piemonte/orta-san-giulio/restaurant/villa-crespi,http://www.villacrespi.it,3 Stelle,0,"Aria condizionata,Parcheggio,Giardino o parco,Interessante carta dei vini,Accesso per sedie a rotelle","A due passi dall'incantevole borgo di Orta San Giulio con le sue viste da cartolina sul lago e sull'isola di San Giulio, questo ristorante tre stelle Michelin vanta una posizione mozzafiato in una villa in stile moresco di fine '800. Impressionante sia all'interno che all'esterno, questa residenza aristocratica un tempo era la casa della famiglia Crespi. Oggi, la luce guida della villa è Antonino Cannavacciuolo, che ora è alla guida di numerosi ristoranti stellati Michelin, di cui Villa Crespi, il più famoso e celebrato di tutti, è l'ammiraglia. Anche se questo chef originario di Vico Equense in Campania trae ispirazione da tutta Italia e oltre, sono la passione, il colore e i sapori intensi della sua regione natale che brillano in tutti i suoi piatti. I due menu degustazione, così come il conciso menu à la carte, presentano piatti eleganti e pieni di bontà dove l'attenzione è rivolta a pesce e frutti di mare (anche se la carne è presente). Questa è la cucina mediterranea in tutto il suo splendore, con uno stile contemporaneo che non è mai forzato - tipico di Cannavacciuolo al suo meglio."
Quattro Passi,"via Vespucci 13/n, Marina del Cantone, 80061, Italia","Marina del Cantone, Italia",€€€€,"Mediterranea, Contemporanea",14.3537561,40.5857091,+390818081271,https://guide.michelin.com/en/campania/marina-del-cantone/restaurant/quattro-passi,https://www.ristorantequattropassi.it/it/quattro-passi/,3 Stelle,0,"Aria condizionata,Parcheggio,Giardino o parco,Vista magnifica,Interessante carta dei vini,Terrazza","La storia di 40 anni di questo ristorante è iniziata con il nonno dell'attuale chef-proprietario Fabrizio Mellino, che gestiva una piccola attività di vendita di uova delle sue galline. Da qui, ha deciso di espandersi e aprire una pizzeria 'a quattro passi dal mare' (da cui il nome Quattro Passi), che nel corso degli anni suo figlio Antonio e ora suo nipote Fabrizio hanno trasformato in un tempio della cucina mediterranea. Sapori, tecnica forte e ingredienti di qualità si combinano per creare un'emozionante festa per il palato che si conclude con una selezione di piccole uova di cioccolato con sapori insoliti come roquefort, rucola, peperoncino e limone. Una miriade di influenze diverse (il mare, la regione del Sannio, la Francia, il Giappone) e ingredienti (pomodori San Marzano, limoni di Amalfi) si uniscono nella cucina di Fabrizio, risultando in piatti semplici, deliziosi e pieni di sapore. Non è un viaggio facile a Marina del Cantone, ma una volta qui sarai accolto calorosamente da Raffaele e dal suo team, dopo di che potrai sederti e goderti un'esperienza culinaria davvero memorabile."
La Pergola,"via Cadlolo 101, Rome, 00136, Italia","Roma, Italia",€€€€,"Mediterranea, Contemporanea",12.4461151,41.9187946,+390635092152,https://guide.michelin.com/en/lazio/roma/restaurant/la-pergola69016,https://romecavalieri.com/it/la-pergola-it/,3 Stelle,0,"Aria condizionata,Parcheggio,Vista magnifica,Interessante carta dei vini,Terrazza,Accesso per sedie a rotelle","Dopo un completo rinnovamento, il nuovo Pergola rende omaggio ai colori e ai materiali di Roma, dal marmo di Travertino alla combinazione di colori rossi. Anche la terrazza ha subito un restyling, ma fortunatamente la vista non è cambiata - non importa quante volte vieni qui, scopri che la tua memoria non rende mai giustizia alle magnifiche ed estese viste sulla capitale. Sotto il colle di Monte Mario, l'intera Roma, circondata da colline, si estende davanti a te, apparendo silenziosa e incantata, quasi come se stesse sonnecchiando. Anche se è al timone qui dal 1994, l'entusiasmo di Heinz Beck rimane intatto, poiché continua ad aggiornare i suoi piatti, a esplorare nuove strade e a creare una cucina fantasiosa con un forte sapore italiano e mediterraneo. Oltre alla spettacolare carta dei vini, c'è anche una notevole scelta di acqua e caffè."
Reale,"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italia","Castel di Sangro, Italia",€€€€,"Moderna, Creativa",14.094554,41.7800349,+39086469382,https://guide.michelin.com/en/abruzzo/castel-di-sangro/restaurant/reale,http://www.nikoromito.com/reale,3 Stelle,0,"Aria condizionata,Parcheggio,Giardino o parco,Vista magnifica,Interessante carta dei vini,Ristorante con menu vegetariani","Ospitato in un monastero del XVI secolo tra giardini e vigneti sulle colline che circondano Castel di Sangro, questo ristorante vanta uno stile semplice e minimalista che si riflette nella sua cucina, creata da uno degli chef più facilmente identificabili e riconoscibili in Italia. Per anni, Niko Romito è stato rinomato per i suoi piatti in stile minimalista che sono preparati con pochi ingredienti, con salse con un sapore più italiano che classicamente francese, e questo straordinario chef continua a fare ricerca ed evolvere. Si concentra su ingredienti e ricette del suo Abruzzo natale, prestando particolare attenzione alle verdure e creando piatti che colpiscono per i loro sapori intensi. Come sempre, i suoi piatti sono apparentemente semplici ma spesso il risultato di una preparazione complessa che lascia i suoi ospiti pieni di ammirazione incantata."
Da Vittorio,"via Cantalupa 17, Brusaporto, 24060, Italia","Brusaporto, Italia",€€€€,"Italiana, Contemporanea",9.7692511,45.6756778,+39035681024,https://guide.michelin.com/en/lombardia/brusaporto/restaurant/da-vittorio,http://www.davittorio.com,3 Stelle,0,"Aria condizionata,Parcheggio,Giardino o parco,Interessante carta dei vini,Terrazza,Accesso per sedie a rotelle","Sebbene ci sia un menu à la carte in questo accogliente ristorante a conduzione familiare, i quattro menu degustazione serviti qui sono il punto forte: “Gli esordi di papà Vittorio” (piatti di carne di ispirazione tradizionale); “Dalla nostra campagna” (verdure coltivate nell'orto del ristorante e presso Planet Farm); “Carta Bianca” (16 portate che mettono in mostra appieno le capacità creative dello chef); e “Nella tradizione di Vittorio"" (8 portate di pesce e frutti di mare preparate con prodotti freschi del mercato, incluso il famoso “pacchero” o pannocchia). Tutti i piatti sono preparati utilizzando ingredienti di alta qualità scelti con cura e colpiscono per la loro bella presentazione e sapori ricchi, intensi e tradizionali. Da Vittorio, gli ospiti sono seguiti attentamente dall'inizio alla fine, con gli straordinari carrelli di formaggi e dolci che offrono un finale appropriato."
Osteria Francescana,"via Stella 22, Modena, 41121, Italia","Modena, Italia",€€€€,Creativa,10.9215518,44.6448099,+39059223912,https://guide.michelin.com/en/emilia-romagna/modena/restaurant/osteria-francescana,http://osteriafrancescana.it,3 Stelle,1,"Aria condizionata,Interessante carta dei vini,Accesso per sedie a rotelle","Situato in Via Stella, questo ristorante evita un arredamento eccessivamente ornato a favore di uno stile più semplice, contemporaneo ed elegante che è arricchito da opere d'arte sorprendenti (Massimo Bottura è un appassionato d'arte). Questo stile sobrio si riflette nella cucina, dove i gesti grandiosi sono sostituiti da un approccio equilibrato che presta attenzione a ogni dettaglio. Il menu ha un ampio raggio, includendo specialità di Modena e dell'Emilia (ingredienti come formaggio Parmigiano, aceto balsamico e pasta come tagliatelle e tortellini), così come piatti classici internazionali, che lo chef reinterpreta con un tocco leggero e giocoso, ricordandoci che il cibo non dovrebbe essere un rituale noioso ma piuttosto un'esperienza piacevole influenzata dalla memoria e dalla cultura. L'impressionante carta dei vini include etichette meno conosciute di piccoli produttori con storie interessanti, così come opzioni di alta qualità di cantine consolidate."
Piazza Duomo,"vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italia","Alba, Italia",€€€€,"Creativa, Di Stagione",8.0359341,44.7005555,+390173366167,https://guide.michelin.com/en/piemonte/alba/restaurant/piazza-duomo,http://www.piazzaduomoalba.it,3 Stelle,1,"Aria condizionata,Interessante carta dei vini,Ristorante con menu vegetariani","Una caratteristica porta rossa segna l'ingresso a questo tempio della cucina italiana. Una volta entrati, dirigiti al primo piano, dove sarai accolto da pareti rosa e un affresco di Francesco Clemente, così come dal cordiale staff di sala del ristorante. Qui, la cucina individuale dello chef Enrico Crippa occupa un posto d'onore in tre menu degustazione, con un quarto menu più breve disponibile a pranzo. Uno dei menu è ispirato agli orti e alle stagioni, un altro alla regione, mentre il terzo porta gli ospiti in un viaggio culinario attraverso l'Italia e oltre. Ciò che è evidente in ogni singolo, delizioso boccone è la passione dello chef per le piante, con verdure, fiori, erbe selvatiche e coltivate raccolte quotidianamente, tutte presenti in piatti memorabili e splendidamente presentati. Gli iconici stuzzichini che presentano innumerevoli ingredienti deliziosi sono una festa per gli occhi e per il palato e sono stati particolarmente apprezzati dai nostri ispettori. Non c'è bisogno di menzionare che questa regione è appassionata di vino, quindi non è del tutto sorprendente che il ristorante offra tre diverse carte dei vini: Solopiemonte rende un superbo omaggio alla regione, mentre Tuttoilresto (diviso in due opzioni, bianco e rosso) è una celebrazione dei vini francesi. Lo staff di servizio efficiente ed entusiasta riesce a prendersi cura degli ospiti senza essere eccessivamente formale, in modo che tre ore (all'incirca il tempo che devi concedere per il tuo pasto) passino quasi senza accorgersene. Lo chef aggiunge il tocco finale con un saluto discreto e amichevole alla fine del pasto."
Dal Pescatore,"località Runate 15, Runate, 46013, Italia","Runate, Italia",€€€€,"Italiana, Contemporanea",10.3565788,45.1712728,+390376723001,https://guide.michelin.com/en/lombardia/runate/restaurant/dal-pescatore,http://www.dalpescatore.com,3 Stelle,1,"Aria condizionata,Parcheggio,Giardino o parco,Interessante carta dei vini,Ristorante con menu vegetariani,Terrazza,Accesso per sedie a rotelle","Dopo aver mantenuto tre stelle Michelin dal 1996 (un record italiano), questo ristorante si trova nel villaggio di Runate che si trova tra Cremona e Mantova e ha solo poche decine di abitanti. Ora vicino a celebrare mezzo secolo di attività, Dal Pescatore è gestito da una coppia straordinaria che ha trasformato quella che era una vecchia locanda di famiglia in un tempio di eleganza e ospitalità. Antonio Santini supervisiona il servizio in sala, mentre sua moglie Nadia è al timone in cucina, aiutata dai figli Giovanni e Alberto. In un ambiente che vanta un elegante mix di vecchio e nuovo, dove spazio, luce e colori si combinano per creare un'atmosfera incantevole, goditi piatti memorabili che si sono evoluti nel corso dei decenni, migliorando anno dopo anno senza mai cedere alle tendenze moderne in modo che l'attenzione sia sempre sul sapore e sulla gioia del buon cibo. Dal Pescatore vanta un'ambientazione da favola, occupando una deliziosa casa di campagna nel Parco dell'Oglio."
Le Calandre,"via Liguria 1, località Sarmeola, Rubano, 35030, Italia","Rubano, Italia",€€€€,"Creativa, Contemporanea",11.8096633,45.4215425,+39049630303,https://guide.michelin.com/en/veneto/rubano/restaurant/le-calandre,httpss://alajmo.it,3 Stelle,0,"Aria condizionata,Parcheggio,Interessante carta dei vini","Situato lontano dalla strada principale e dal centro commerciale, il favoloso Le Calandre è gestito dalla famiglia Alajmo. L'illuminazione soffusa (anche durante il giorno) si abbina perfettamente all'arredamento della sala da pranzo in stile minimalista progettata dai fratelli Massimiliano e Raffaele (così come la maggior parte delle stoviglie utilizzate nel ristorante). La cucina è presentata in tre menu degustazione (Classico, Max e Raf), con la possibilità di ridurre il numero di portate e scegliere piatti da diversi menu, quasi in stile à la carte. Con la sua combinazione di sapori familiari e colpi di scena fantasiosi, la cucina di Max celebra i piatti d'autore del ristorante come il risotto “passi d’oro” 2.0 e il famoso cappuccino di seppie in nero di seppia, così come piatti creativi ispirati alle stagioni che passano. Il ristorante ha anche una propria gastronomia per chiunque voglia acquistare un souvenir gourmet."
Enrico Bartolini al Mudec,"via Tortona 56, Milano, 20144, Italia","Milano, Italia",€€€€,Creativa,9.161865,45.4516,+390284293701,https://guide.michelin.com/en/lombardia/milano/restaurant/enrico-bartolini-al-mudec,http://www.enricobartolini.net,3 Stelle,0,"Aria condizionata,Parcheggio,Interessante carta dei vini,Accesso per sedie a rotelle","Dopo aver ricevuto tre stelle per questo ristorante (il suo indirizzo di punta a Milano), Enrico Bartolini non ha intenzione di adagiarsi sugli allori. Assistito dallo chef residente Davide Boglioli, continua a creare piatti nuovi ma accessibili, ricchi di sapori intensi e una varietà di influenze, quindi basta sedersi e godersi i risultati perfettamente equilibrati. Qui vengono serviti due menu degustazione: “Mudec Experience” e il “Best of”, quest'ultimo che mette in mostra i classici preferiti dello chef. I piatti possono essere scelti in stile à la carte da entrambi i menu. Se desideri assaggiare gli spaghetti freddi, lascia spazio a uno dei cinque piatti serviti nel menu “formaggi creativi” che presenta combinazioni interessanti e insolite. Situato al terzo piano del Museo delle Culture di Milano (Mudec), il ristorante ha un'atmosfera elegante e contemporanea in stile lounge."
Uliassi,"banchina di Levante 6, Senigallia, 60019, Italia","Senigallia, Italia",€€€€,"Creativa, Di Mare",13.2206503,43.7194609,+3907165463,https://guide.michelin.com/en/marche/senigallia/restaurant/uliassi,http://www.uliassi.com,3 Stelle,0,"Aria condizionata,Vista magnifica,Interessante carta dei vini,Terrazza","La Riviera Adriatica, una destinazione da cartolina perfetta per le vacanze estive, fa da sfondo a questo raffinato ristorante gestito dallo chef Mauro Uliassi. Nascosto tra i lidi privati che affollano il lungomare di Senigallia, questo ristorante tre stelle Michelin è una sorpresa, circondato com'è da ombrelloni e dal suono del mare che lambisce la riva. La forza e l'originalità della cucina di Uliassi risiedono nella sua capacità di fare buon uso degli ingredienti locali, traendo ispirazione dalle tradizioni culinarie che sono state così familiari e di successo lungo questa costa negli ultimi decenni e dando loro un tocco personale e creativo. Pesce e frutti di mare occupano ovviamente un posto d'onore, anche se c'è spazio nel menu anche per la carne, ispirata ai piatti tradizionali di cacciagione delle Marche - il delizioso piccione allo spiedo è cucinato alla perfezione! L'esperienza culinaria colorata qui è arricchita dalla calorosa accoglienza del proprietario, con la sorella di Mauro, Catia, e suo figlio Filippo che lavorano al fianco dello chef. Vale anche la pena menzionare che il ristorante ha un forte focus sull'ambiente, da qui il divieto di usare plastica e fare il possibile per convincere i suoi fornitori di pesce a non usare il polistirolo per trasportare il loro pesce."
Casa Perbellini 12 Apostoli,"vicolo Corticella San Marco 3, Verona, 37121, Italia","Verona, Italia",€€€€,"Creativa, Contemporanea",10.9961161,45.4426941,+390458780860,https://guide.michelin.com/en/veneto/verona/restaurant/casa-perbellini,http://www.casaperbellini.com,3 Stelle,0,"Aria condizionata,Cena al bancone,Interessante carta dei vini,Ristorante con menu vegetariani,Accesso per sedie a rotelle","Giancarlo Perbellini torna alle sue origini in questo storico ristorante nella sua città natale, dove ogni chef di Verona (e forse oltre) vorrebbe lavorare. L'arredamento aggiornato conferisce al ristorante un fascino ancora maggiore, così come lo stile culinario e la filosofia esposti in tre menu degustazione: “Io e Silva”, che include piatti decisamente fantasiosi (come crostacei cotti e crudi con un tocco di soia e peperoni) ed è dedicato a sua moglie; “Io e Giorgio”, dedicato al suo mentore ed ex proprietario del ristorante, che presenta ricette più classiche; e, ultimo ma non meno importante, il completamente vegetariano “L'Essenza”. Menzione speciale merita la carta dei vini, che include un'ampia selezione di etichette francesi, di cui sia il sommelier che Giancarlo sono grandi fan. Come attrazione finale, assicurati di trovare il tempo per visitare le rovine romane nel seminterrato. Consigliamo vivamente anche di prenotare il tavolo dello chef, dove si può cenare in coppia e allo stesso tempo godere della compagnia degli abili chef che osserverai lavorare insieme come i membri ben preparati di un'orchestra: uno spettacolo straordinario!"
Enoteca Pinchiorri,"via Ghibellina 87, Florence, 50122, Italia","Firenze, Italia",€€€€,"Italiana, Contemporanea",11.2621974,43.770066,+3905526311,https://guide.michelin.com/en/toscana/firenze/restaurant/enoteca-pinchiorri,http://www.enotecapinchiorri.com,3 Stelle,0,"Aria condizionata,Interessante carta dei vini,Ristorante con menu vegetariani,Terrazza","La cucina da Pinchiorri colpisce per il suo stile opulento e grandioso che impressiona senza diventare eccessivamente esagerato o pretenzioso, in modo che il fulcro principale di ogni piatto sia il sapore dei suoi ingredienti. Il magnifico banchetto di portate assomiglia a uno spettacolo di fuochi d'artificio, con ogni portata più impressionante della precedente in un crescente crescendo di delizie. Vale la pena venire qui semplicemente per provare il servizio, un valzer impeccabile diretto da Alessandro Tomberli, uno dei migliori maître d'hôtel in Italia. Annie Féolde, una delle icone del ristorante, ha lasciato le redini al talentuoso chef Riccardo Monco, che continua a coltivare e soddisfare l'appetito italiano per la buona cucina. Un merito va anche a Giorgio Pinchiorri, che ha sviluppato una carta dei vini rinomata in tutto il mondo."
